size,np,threads,time
25000,3,1,81.818792
25000,3,1,81.105533
25000,3,1,81.009186
25000,3,1,81.012795
25000,3,1,81.091628
25000,3,2,41.581012
25000,3,2,41.502632
25000,3,2,41.424551
25000,3,2,41.519227
25000,3,2,41.474887
25000,3,3,28.034348
25000,3,3,28.101850
25000,3,3,28.060844
25000,3,3,28.073414
25000,3,3,28.042944
25000,3,4,21.318542
25000,3,4,21.251501
25000,3,4,21.306072
25000,3,4,21.336935
25000,3,4,21.329842
25000,3,5,17.296789
25000,3,5,17.268136
25000,3,5,17.328513
25000,3,5,17.307563
25000,3,5,17.332607
25000,3,6,14.588875
25000,3,6,14.587045
25000,3,6,14.578019
25000,3,6,14.577962
25000,3,6,14.581662
25000,3,7,12.732852
25000,3,7,12.685316
25000,3,7,12.704733
25000,3,7,12.707214
25000,3,7,12.735525
25000,3,8,11.350995
25000,3,8,11.359337
25000,3,8,11.376068
25000,3,8,11.354572
25000,3,8,11.373047
25000,3,9,10.288337
25000,3,9,10.288392
25000,3,9,10.243408
25000,3,9,10.268660
25000,3,9,10.286337
25000,3,10,9.421751
25000,3,10,9.436751
25000,3,10,9.432942
25000,3,10,9.439876
25000,3,10,9.409132
25000,3,11,8.747520
25000,3,11,8.744329
25000,3,11,8.741207
25000,3,11,8.785631
25000,3,11,8.759239
25000,3,12,8.171041
25000,3,12,8.203165
25000,3,12,8.167459
25000,3,12,8.160631
25000,3,12,8.207952
25000,3,13,7.696295
25000,3,13,7.746754
25000,3,13,7.724081
25000,3,13,7.905650
25000,3,13,7.724562
25000,3,14,7.297665
25000,3,14,7.300098
25000,3,14,7.325698
25000,3,14,7.301115
25000,3,14,7.325129
25000,3,15,6.943980
25000,3,15,6.962631
25000,3,15,6.955067
25000,3,15,6.963391
25000,3,15,6.973148
25000,3,16,6.673518
25000,3,16,6.680615
25000,3,16,7.092003
25000,3,16,6.641191
25000,3,16,7.108474
25000,3,17,6.341356
25000,3,17,6.319621
25000,3,17,6.329916
25000,3,17,6.319051
25000,3,17,6.327138
25000,3,18,6.020510
25000,3,18,6.036700
25000,3,18,6.015021
25000,3,18,6.024228
25000,3,18,6.025196
25000,3,19,5.790180
25000,3,19,5.782732
25000,3,19,5.801449
25000,3,19,5.793114
25000,3,19,5.801406
25000,3,20,5.579742
25000,3,20,5.571005
25000,3,20,5.567596
25000,3,20,5.573127
25000,3,20,5.595748
25000,3,21,5.396558
25000,3,21,5.383740
25000,3,21,5.381654
25000,3,21,5.784231
25000,3,21,5.375056
25000,3,22,5.568283
25000,3,22,5.199613
25000,3,22,5.631067
25000,3,22,5.204257
25000,3,22,5.241929
25000,3,23,5.038538
25000,3,23,5.062015
25000,3,23,5.056415
25000,3,23,5.061822
25000,3,23,5.071538
25000,3,24,4.906975
25000,3,24,4.879881
25000,3,24,4.908073
25000,3,24,5.315203
25000,3,24,4.916242
25000,3,25,4.783202
25000,3,25,4.763551
25000,3,25,4.774268
25000,3,25,4.773072
25000,3,25,4.774676
25000,3,26,4.645373
25000,3,26,4.644240
25000,3,26,5.068448
25000,3,26,4.656395
25000,3,26,4.658181
25000,3,27,4.520576
25000,3,27,4.511647
25000,3,27,4.552369
25000,3,27,4.515420
25000,3,27,4.923824
25000,3,28,4.411403
25000,3,28,4.427581
25000,3,28,4.408181
25000,3,28,4.406655
25000,3,28,4.409335
25000,3,29,4.346369
25000,3,29,4.719558
25000,3,29,4.322240
25000,3,29,4.335723
25000,3,29,4.317870
25000,3,30,4.242874
25000,3,30,4.297048
25000,3,30,4.261587
25000,3,30,4.235519
25000,3,30,4.250956
25000,3,31,4.173594
25000,3,31,4.356072
25000,3,31,4.173056
25000,3,31,4.153654
25000,3,31,4.148549
25000,3,32,4.073029
25000,3,32,4.411875
25000,3,32,4.103374
25000,3,32,4.077274
25000,3,32,4.068881
25000,3,33,4.014810
25000,3,33,4.309286
25000,3,33,4.006883
25000,3,33,3.991919
25000,3,33,3.995460
25000,3,34,3.956683
25000,3,34,4.249299
25000,3,34,3.954067
25000,3,34,3.941802
25000,3,34,3.946095
25000,3,35,3.889085
25000,3,35,4.258946
25000,3,35,3.906024
25000,3,35,3.886225
25000,3,35,3.899732
25000,3,36,3.827839
25000,3,36,4.208701
25000,3,36,3.839927
25000,3,36,3.814517
25000,3,36,3.824307
25000,3,37,3.779564
25000,3,37,3.759341
25000,3,37,3.755071
25000,3,37,3.744300
25000,3,37,3.887663
25000,3,38,3.689734
25000,3,38,3.689956
25000,3,38,3.718131
25000,3,38,3.699024
25000,3,38,3.988949
25000,3,39,3.638911
25000,3,39,3.645405
25000,3,39,3.643393
25000,3,39,3.645171
25000,3,39,3.648384
25000,3,40,3.596125
25000,3,40,3.603867
25000,3,40,3.981162
25000,3,40,3.602218
25000,3,40,3.597025
25000,3,41,3.541722
25000,3,41,3.546667
25000,3,41,3.536946
25000,3,41,3.535150
25000,3,41,3.530347
25000,3,42,3.856248
25000,3,42,3.500600
25000,3,42,3.517106
25000,3,42,3.481188
25000,3,42,3.494106
25000,3,43,3.471573
25000,3,43,3.478095
25000,3,43,3.470448
25000,3,43,3.468916
25000,3,43,3.492713
25000,3,44,3.450610
25000,3,44,3.454122
25000,3,44,3.451593
25000,3,44,3.429035
25000,3,44,3.466941
25000,3,45,3.815499
25000,3,45,3.388211
25000,3,45,3.396719
25000,3,45,3.409280
25000,3,45,3.392037
25000,3,46,3.706750
25000,3,46,3.377475
25000,3,46,3.381484
25000,3,46,3.365905
25000,3,46,3.378210
25000,3,47,3.359492
25000,3,47,3.347895
25000,3,47,3.369144
25000,3,47,3.357772
25000,3,47,3.362236
25000,3,48,3.306428
25000,3,48,3.281957
25000,3,48,3.321398
25000,3,48,3.333046
25000,3,48,3.626087
25000,3,49,3.281582
25000,3,49,3.286402
25000,3,49,3.271934
25000,3,49,3.289491
25000,3,49,3.269389
25000,3,50,3.221081
25000,3,50,3.236665
25000,3,50,3.565552
25000,3,50,3.250952
25000,3,50,3.211473
25000,3,51,3.181921
25000,3,51,3.175396
25000,3,51,3.178264
25000,3,51,3.595317
25000,3,51,3.181088
25000,3,52,3.166817
25000,3,52,3.523102
25000,3,52,3.152195
25000,3,52,3.154926
25000,3,52,3.150444
25000,3,53,3.138546
25000,3,53,3.153120
25000,3,53,3.115206
25000,3,53,3.159865
25000,3,53,3.113489
25000,3,54,3.094692
25000,3,54,3.113811
25000,3,54,3.455099
25000,3,54,3.106048
25000,3,54,3.104665
25000,3,55,3.095325
25000,3,55,3.098814
25000,3,55,3.086991
25000,3,55,3.106572
25000,3,55,3.093930
25000,3,56,3.084377
25000,3,56,3.106693
25000,3,56,3.095727
25000,3,56,3.089282
25000,3,56,3.114343
25000,3,57,3.060323
25000,3,57,3.070765
25000,3,57,3.068189
25000,3,57,3.245689
25000,3,57,3.066551
25000,3,58,3.049713
25000,3,58,3.443600
25000,3,58,3.041010
25000,3,58,3.038019
25000,3,58,3.183163
25000,3,59,3.011137
25000,3,59,3.019044
25000,3,59,3.000056
25000,3,59,3.008412
25000,3,59,3.000740
25000,3,60,3.000088
25000,3,60,3.008279
25000,3,60,3.001457
25000,3,60,2.985990
25000,3,60,3.010718
25000,3,61,2.969285
25000,3,61,2.958919
25000,3,61,2.979122
25000,3,61,2.957408
25000,3,61,2.964978
25000,3,62,2.922612
25000,3,62,2.918909
25000,3,62,2.935142
25000,3,62,2.920337
25000,3,62,2.954973
25000,3,63,2.902865
25000,3,63,2.911074
25000,3,63,2.917541
25000,3,63,3.013453
25000,3,63,2.935291
25000,3,64,2.888447
25000,3,64,2.911316
25000,3,64,2.896248
25000,3,64,2.898274
25000,3,64,2.886587
