size,np,threads,time
10000,5,1,8.124233
10000,5,1,7.571895
10000,5,1,7.585002
10000,5,1,7.566840
10000,5,1,7.601066
10000,5,2,3.938823
10000,5,2,3.926352
10000,5,2,3.935441
10000,5,2,3.916923
10000,5,2,3.914541
10000,5,3,2.682810
10000,5,3,2.675641
10000,5,3,2.690246
10000,5,3,2.675016
10000,5,3,2.693836
10000,5,4,2.071240
10000,5,4,2.059007
10000,5,4,2.061034
10000,5,4,2.249314
10000,5,4,2.062958
10000,5,5,1.704615
10000,5,5,1.696276
10000,5,5,1.687945
10000,5,5,1.703258
10000,5,5,1.697165
10000,5,6,1.473703
10000,5,6,1.448042
10000,5,6,1.444770
10000,5,6,1.453043
10000,5,6,1.453012
10000,5,7,1.278101
10000,5,7,1.278757
10000,5,7,1.278924
10000,5,7,1.277012
10000,5,7,1.279636
10000,5,8,1.248469
10000,5,8,1.150363
10000,5,8,1.158959
10000,5,8,1.145279
10000,5,8,1.161783
10000,5,9,1.043265
10000,5,9,1.036853
10000,5,9,1.040557
10000,5,9,1.044367
10000,5,9,1.045181
10000,5,10,0.960553
10000,5,10,0.963896
10000,5,10,0.975887
10000,5,10,0.958669
10000,5,10,0.981630
10000,5,11,0.900856
10000,5,11,0.889571
10000,5,11,0.896370
10000,5,11,0.906047
10000,5,11,0.897886
10000,5,12,0.838328
10000,5,12,0.838126
10000,5,12,0.839959
10000,5,12,0.836911
10000,5,12,0.842026
10000,5,13,0.795106
10000,5,13,0.806665
10000,5,13,0.807376
10000,5,13,0.794348
10000,5,13,0.795010
10000,5,14,0.749716
10000,5,14,0.749982
10000,5,14,0.747295
10000,5,14,0.751103
10000,5,14,0.745704
10000,5,15,0.710109
10000,5,15,0.708123
10000,5,15,0.722408
10000,5,15,0.733209
10000,5,15,0.731717
10000,5,16,0.689921
10000,5,16,0.689932
10000,5,16,0.712857
10000,5,16,0.684226
10000,5,16,0.686178
10000,5,17,0.670368
10000,5,17,0.661388
10000,5,17,0.661305
10000,5,17,0.663168
10000,5,17,0.681386
10000,5,18,0.646089
10000,5,18,0.642261
10000,5,18,0.644121
10000,5,18,0.635991
10000,5,18,0.651161
10000,5,19,0.608193
10000,5,19,0.617598
10000,5,19,0.612950
10000,5,19,0.649670
10000,5,19,0.604603
10000,5,20,0.589657
10000,5,20,0.600113
10000,5,20,0.585126
10000,5,20,0.589652
10000,5,20,0.599863
10000,5,21,0.588766
10000,5,21,0.579905
10000,5,21,0.659837
10000,5,21,0.583835
10000,5,21,0.570938
10000,5,22,0.579807
10000,5,22,0.558962
10000,5,22,0.566496
10000,5,22,0.575686
10000,5,22,0.569497
10000,5,23,0.559496
10000,5,23,0.562048
10000,5,23,0.555670
10000,5,23,0.555517
10000,5,23,0.552358
10000,5,24,0.542978
