size,np,threads,time
10000,8,1,4.842532
10000,8,1,4.818751
10000,8,1,4.820518
10000,8,1,4.813155
10000,8,1,4.820855
10000,8,2,2.536097
10000,8,2,2.534519
10000,8,2,2.532480
10000,8,2,2.557277
10000,8,2,2.539519
10000,8,3,1.772267
10000,8,3,1.785988
10000,8,3,1.777116
10000,8,3,1.776050
10000,8,3,1.779909
10000,8,4,1.392031
10000,8,4,1.394809
10000,8,4,1.392271
10000,8,4,1.390980
10000,8,4,1.389093
10000,8,5,1.155836
10000,8,5,1.164900
10000,8,5,1.161584
10000,8,5,1.160896
10000,8,5,1.163959
10000,8,6,1.005783
10000,8,6,1.039696
10000,8,6,1.007604
10000,8,6,1.012474
10000,8,6,1.011414
10000,8,7,0.893560
10000,8,7,0.895723
10000,8,7,0.908616
10000,8,7,0.895462
10000,8,7,0.891860
10000,8,8,0.813983
10000,8,8,0.832191
10000,8,8,0.812489
10000,8,8,0.818993
10000,8,8,0.811715
10000,8,9,0.764086
10000,8,9,0.747897
10000,8,9,0.750353
10000,8,9,0.746478
10000,8,9,0.759285
10000,8,10,0.695390
10000,8,10,0.695264
10000,8,10,0.694835
10000,8,10,0.697806
10000,8,10,0.693503
10000,8,11,0.649850
10000,8,11,0.652751
10000,8,11,0.649017
10000,8,11,0.657822
10000,8,11,0.661129
10000,8,12,0.610940
10000,8,12,0.613996
10000,8,12,0.606401
10000,8,12,0.611920
10000,8,12,0.611365
10000,8,13,0.592884
10000,8,13,0.662299
10000,8,13,0.580384
10000,8,13,0.588184
10000,8,13,0.584354
10000,8,14,0.565743
10000,8,14,0.572826
10000,8,14,0.559787
10000,8,14,0.560054
10000,8,14,0.553940
10000,8,15,0.569257
10000,8,15,0.547758
10000,8,15,0.534520
10000,8,15,0.559201
10000,8,15,0.540304
10000,8,16,0.541773
10000,8,16,0.531432
10000,8,16,0.532623
10000,8,16,0.516687
10000,8,16,0.526239
10000,8,17,0.504588
10000,8,17,0.508825
10000,8,17,0.505751
10000,8,17,0.516642
10000,8,17,0.500935
10000,8,18,0.492562
10000,8,18,0.487354
10000,8,18,0.489670
10000,8,18,0.485149
10000,8,18,0.494246
10000,8,19,0.476992
10000,8,19,0.476337
10000,8,19,0.474356
10000,8,19,0.500773
10000,8,19,0.477333
10000,8,20,0.466079
10000,8,20,0.461635
10000,8,20,0.462303
10000,8,20,0.456041
10000,8,20,0.467659
10000,8,21,0.454999
10000,8,21,0.459666
10000,8,21,0.451279
10000,8,21,0.460246
10000,8,21,0.449272
10000,8,22,0.451864
10000,8,22,0.450090
10000,8,22,0.452569
10000,8,22,0.439483
10000,8,22,0.449719
10000,8,23,0.436380
10000,8,23,0.442452
10000,8,23,0.435358
10000,8,23,0.442027
10000,8,23,0.429808
10000,8,24,0.422536
10000,8,24,0.430111
10000,8,24,0.424876
