size,np,threads,time
25000,5,1,49.016079
25000,5,1,48.445294
25000,5,1,48.423887
25000,5,1,48.340186
25000,5,1,48.301906
25000,5,2,25.181627
25000,5,2,25.111941
25000,5,2,25.116125
25000,5,2,25.127391
25000,5,2,25.113056
25000,5,3,17.162069
25000,5,3,17.128001
25000,5,3,17.125177
25000,5,3,17.115354
25000,5,3,17.198922
25000,5,4,13.139459
25000,5,4,13.139098
25000,5,4,13.094960
25000,5,4,13.143036
25000,5,4,13.175704
25000,5,5,10.728093
25000,5,5,10.757725
25000,5,5,10.733541
25000,5,5,10.743684
25000,5,5,10.740657
25000,5,6,9.116642
25000,5,6,9.114940
25000,5,6,9.139478
25000,5,6,9.135235
25000,5,6,9.166736
25000,5,7,8.157434
25000,5,7,7.976530
25000,5,7,7.982710
25000,5,7,8.014300
25000,5,7,8.011375
25000,5,8,7.220474
25000,5,8,7.167079
25000,5,8,7.193271
25000,5,8,7.171224
25000,5,8,7.193230
25000,5,9,6.481089
25000,5,9,6.484291
25000,5,9,6.496387
25000,5,9,6.472592
25000,5,9,6.473449
25000,5,10,5.980494
25000,5,10,5.968121
25000,5,10,5.976490
25000,5,10,5.938306
25000,5,10,5.969822
25000,5,11,5.577955
25000,5,11,5.566294
25000,5,11,5.582229
25000,5,11,5.576205
25000,5,11,5.567461
25000,5,12,5.253266
25000,5,12,5.631124
25000,5,12,5.263190
25000,5,12,5.248678
25000,5,12,5.250473
25000,5,13,4.940774
25000,5,13,5.006424
25000,5,13,4.986523
25000,5,13,4.962990
25000,5,13,4.960401
25000,5,14,4.717800
25000,5,14,4.706160
25000,5,14,4.726453
25000,5,14,4.704428
25000,5,14,4.710597
25000,5,15,4.500663
25000,5,15,4.495176
25000,5,15,4.522037
25000,5,15,4.505019
25000,5,15,4.486886
25000,5,16,4.325051
25000,5,16,4.701386
25000,5,16,4.330104
25000,5,16,4.302967
25000,5,16,4.309607
25000,5,17,4.157150
25000,5,17,4.121878
25000,5,17,4.201842
25000,5,17,4.541826
25000,5,17,4.129408
25000,5,18,4.097110
25000,5,18,4.025901
25000,5,18,4.024060
25000,5,18,3.992257
25000,5,18,4.066310
25000,5,19,3.872688
25000,5,19,3.879637
25000,5,19,3.904833
25000,5,19,3.856583
25000,5,19,3.914972
25000,5,20,3.739209
25000,5,20,3.743941
25000,5,20,3.737980
25000,5,20,3.757780
25000,5,20,3.775057
25000,5,21,3.612516
25000,5,21,3.644768
25000,5,21,3.612856
25000,5,21,4.019989
25000,5,21,3.613186
25000,5,22,3.516827
25000,5,22,3.517665
25000,5,22,3.536290
25000,5,22,3.903297
25000,5,22,3.525372
25000,5,23,3.494040
25000,5,23,3.440715
25000,5,23,3.420184
25000,5,23,3.493661
25000,5,23,3.422173
25000,5,24,3.352799
