size,np,threads,time
25000,6,1,40.572257
25000,6,1,40.526997
25000,6,1,40.374977
25000,6,1,40.456307
25000,6,1,40.466496
25000,6,2,20.997355
25000,6,2,20.974993
25000,6,2,21.014213
25000,6,2,21.014824
25000,6,2,20.986394
25000,6,3,14.424111
25000,6,3,14.498998
25000,6,3,14.461781
25000,6,3,14.456171
25000,6,3,14.440736
25000,6,4,11.072674
25000,6,4,11.101507
25000,6,4,11.084437
25000,6,4,11.078315
25000,6,4,11.116741
25000,6,5,9.080625
25000,6,5,9.077855
25000,6,5,9.101767
25000,6,5,9.097023
25000,6,5,9.096182
25000,6,6,7.790870
25000,6,6,7.784902
25000,6,6,7.769961
25000,6,6,7.823363
25000,6,6,7.899058
25000,6,7,6.845800
25000,6,7,6.884409
25000,6,7,6.828101
25000,6,7,6.814888
25000,6,7,6.843786
25000,6,8,6.148590
25000,6,8,6.136241
25000,6,8,6.162759
25000,6,8,6.153675
25000,6,8,6.200434
25000,6,9,5.565115
25000,6,9,5.556782
25000,6,9,5.558886
25000,6,9,5.567376
25000,6,9,5.572031
25000,6,10,5.129573
25000,6,10,5.179973
25000,6,10,5.192396
25000,6,10,5.180986
25000,6,10,5.139703
25000,6,11,4.799533
25000,6,11,4.814453
25000,6,11,4.792457
25000,6,11,4.836791
25000,6,11,4.796347
25000,6,12,4.548406
25000,6,12,4.561290
25000,6,12,4.586179
25000,6,12,4.549809
25000,6,12,4.539616
25000,6,13,4.294420
25000,6,13,4.313272
25000,6,13,4.257648
25000,6,13,4.348493
25000,6,13,4.359022
25000,6,14,4.151816
25000,6,14,4.083735
25000,6,14,4.093486
25000,6,14,4.083400
25000,6,14,4.127104
25000,6,15,3.931764
25000,6,15,3.924503
25000,6,15,3.908850
25000,6,15,3.930838
25000,6,15,3.948906
25000,6,16,3.764282
25000,6,16,3.848713
25000,6,16,3.791562
25000,6,16,3.756345
25000,6,16,3.799617
25000,6,17,3.617607
25000,6,17,3.706248
25000,6,17,3.616987
25000,6,17,3.631870
25000,6,17,3.666289
25000,6,18,3.826283
25000,6,18,3.538107
25000,6,18,3.505707
25000,6,18,3.554686
25000,6,18,3.578746
25000,6,19,3.400697
25000,6,19,3.423605
25000,6,19,3.435448
25000,6,19,3.403307
25000,6,19,3.402987
25000,6,20,3.297463
25000,6,20,3.286537
25000,6,20,3.317081
25000,6,20,3.352544
25000,6,20,3.297190
25000,6,21,3.223394
25000,6,21,3.244951
25000,6,21,3.200310
25000,6,21,3.195809
25000,6,21,3.202467
25000,6,22,3.532707
25000,6,22,3.120967
25000,6,22,3.102353
25000,6,22,3.142379
25000,6,22,3.138187
25000,6,23,3.459556
25000,6,23,3.035343
25000,6,23,3.078690
