size,np,threads,time
25000,7,1,35.650732
25000,7,1,34.894188
25000,7,1,34.879580
25000,7,1,34.790649
25000,7,1,34.929176
25000,7,2,18.112052
25000,7,2,18.180583
25000,7,2,18.145194
25000,7,2,18.183175
25000,7,2,18.157510
25000,7,3,12.522272
25000,7,3,12.864556
25000,7,3,12.564343
25000,7,3,12.530859
25000,7,3,12.564988
25000,7,4,9.691287
25000,7,4,9.682902
25000,7,4,9.726299
25000,7,4,9.731133
25000,7,4,9.691055
25000,7,5,7.988830
25000,7,5,7.975656
25000,7,5,7.991853
25000,7,5,8.010067
25000,7,5,7.989421
25000,7,6,6.828344
25000,7,6,6.830698
25000,7,6,6.799992
25000,7,6,6.794553
25000,7,6,6.826653
25000,7,7,6.019137
25000,7,7,6.041220
25000,7,7,6.062862
25000,7,7,6.016465
25000,7,7,6.056438
25000,7,8,5.472411
25000,7,8,5.505753
25000,7,8,5.507823
25000,7,8,5.475927
25000,7,8,5.459976
25000,7,9,5.007372
25000,7,9,4.976523
25000,7,9,4.968411
25000,7,9,5.005716
25000,7,9,4.973494
25000,7,10,4.643384
25000,7,10,4.637211
25000,7,10,4.631058
25000,7,10,4.627701
25000,7,10,4.629284
25000,7,11,4.337634
25000,7,11,4.362917
25000,7,11,4.509761
25000,7,11,4.343295
25000,7,11,4.363234
25000,7,12,4.128266
25000,7,12,4.162175
25000,7,12,4.132163
25000,7,12,4.118620
25000,7,12,4.163336
25000,7,13,3.902400
25000,7,13,3.968286
25000,7,13,3.898691
25000,7,13,3.889405
25000,7,13,3.914606
25000,7,14,3.713396
25000,7,14,3.765798
25000,7,14,3.790177
25000,7,14,3.783230
25000,7,14,3.723867
25000,7,15,3.598178
25000,7,15,3.583875
25000,7,15,3.582899
25000,7,15,3.576418
25000,7,15,3.576454
25000,7,16,3.443754
25000,7,16,3.495871
25000,7,16,3.459669
25000,7,16,3.482165
25000,7,16,3.774322
25000,7,17,3.315184
25000,7,17,3.340586
25000,7,17,3.360774
25000,7,17,3.342077
25000,7,17,3.324259
25000,7,18,3.271909
25000,7,18,3.263865
25000,7,18,3.536775
25000,7,18,3.226180
25000,7,18,3.285014
25000,7,19,3.175076
25000,7,19,3.192136
25000,7,19,3.154977
25000,7,19,3.175332
25000,7,19,3.152464
25000,7,20,3.088646
25000,7,20,3.101024
25000,7,20,3.037459
25000,7,20,3.385155
25000,7,20,3.096743
25000,7,21,2.955637
25000,7,21,2.994697
25000,7,21,2.964864
25000,7,21,2.959511
25000,7,21,2.962536
25000,7,22,2.888284
25000,7,22,2.915376
25000,7,22,2.856445
25000,7,22,2.899614
25000,7,22,2.899632
25000,7,23,2.828768
25000,7,23,2.843669
25000,7,23,2.812362
25000,7,23,2.831234
25000,7,23,2.788076
25000,7,24,2.899939
25000,7,24,2.808246
25000,7,24,2.755580
25000,7,24,2.928916
25000,7,24,2.825097
25000,7,25,2.710414
25000,7,25,2.765456
25000,7,25,2.755426
25000,7,25,2.715962
25000,7,25,2.754871
25000,7,26,2.651961
25000,7,26,2.654989
25000,7,26,2.640584
25000,7,26,2.659386
25000,7,26,2.675700
25000,7,27,2.626719
25000,7,27,2.600411
25000,7,27,2.644157
25000,7,27,2.605487
25000,7,27,2.599488
25000,7,28,2.559782
25000,7,28,2.580081
25000,7,28,2.554199
25000,7,28,2.549080
25000,7,28,2.605900
25000,7,29,2.515575
25000,7,29,2.482442
25000,7,29,2.834805
25000,7,29,2.495496
25000,7,29,2.502034
25000,7,30,2.607750
25000,7,30,2.469978
25000,7,30,2.465545
25000,7,30,2.489498
25000,7,30,2.468401
25000,7,31,2.376500
25000,7,31,2.409934
25000,7,31,2.402467
25000,7,31,2.419284
25000,7,31,2.405995
25000,7,32,2.372901
25000,7,32,2.391294
25000,7,32,2.409595
25000,7,32,2.406013
25000,7,32,2.376883
25000,7,33,2.340009
25000,7,33,2.382124
25000,7,33,2.355337
25000,7,33,2.319420
25000,7,33,2.679393
25000,7,34,2.322745
25000,7,34,2.305162
25000,7,34,2.255588
25000,7,34,2.341606
25000,7,34,2.303011
25000,7,35,2.249691
25000,7,35,2.232574
25000,7,35,2.249884
25000,7,35,2.273280
25000,7,35,2.274527
25000,7,36,2.198065
25000,7,36,2.238602
25000,7,36,2.239677
25000,7,36,2.255788
25000,7,36,2.234511
