size,np,threads,time
10000,3,1,13.087192
10000,3,1,12.598743
10000,3,1,12.591315
10000,3,1,12.585728
10000,3,1,12.608224
10000,3,2,6.460283
10000,3,2,6.463465
10000,3,2,6.462774
10000,3,2,6.476962
10000,3,2,6.465216
10000,3,3,4.778305
10000,3,3,4.389477
10000,3,3,4.396469
10000,3,3,4.388949
10000,3,3,4.392489
10000,3,4,3.363498
10000,3,4,3.378404
10000,3,4,3.363782
10000,3,4,3.368003
10000,3,4,3.368743
10000,3,5,2.718306
10000,3,5,2.725150
10000,3,5,2.713651
10000,3,5,2.710146
10000,3,5,2.713164
10000,3,6,2.299940
10000,3,6,2.329207
10000,3,6,2.348259
10000,3,6,2.330473
10000,3,6,2.367444
10000,3,7,2.088374
10000,3,7,2.032011
10000,3,7,2.029597
10000,3,7,2.030656
10000,3,7,2.030393
10000,3,8,1.817097
10000,3,8,1.818530
10000,3,8,1.828498
10000,3,8,1.822980
10000,3,8,1.839878
10000,3,9,1.647358
10000,3,9,1.660712
10000,3,9,1.601029
10000,3,9,1.600634
10000,3,9,1.608601
10000,3,10,1.474486
10000,3,10,1.468639
10000,3,10,1.473131
10000,3,10,1.496194
10000,3,10,1.500187
10000,3,11,1.402568
10000,3,11,1.386794
10000,3,11,1.388718
10000,3,11,1.400165
10000,3,11,1.397477
10000,3,12,1.311022
10000,3,12,1.307473
10000,3,12,1.308949
10000,3,12,1.310361
10000,3,12,1.314695
10000,3,13,1.275570
10000,3,13,1.230609
10000,3,13,1.234809
10000,3,13,1.242346
10000,3,13,1.206476
10000,3,14,1.131235
10000,3,14,1.133208
10000,3,14,1.139142
10000,3,14,1.122902
10000,3,14,1.126429
10000,3,15,1.114080
10000,3,15,1.116405
10000,3,15,1.120278
10000,3,15,1.113639
10000,3,15,1.108130
10000,3,16,1.068255
10000,3,16,1.059831
10000,3,16,1.087099
10000,3,16,1.062595
10000,3,16,1.061148
10000,3,17,0.999596
10000,3,17,0.991206
10000,3,17,0.995971
10000,3,17,0.990613
10000,3,17,1.020031
10000,3,18,0.939863
10000,3,18,0.926981
10000,3,18,0.928328
10000,3,18,0.936772
10000,3,18,0.927119
10000,3,19,0.890506
10000,3,19,0.907192
10000,3,19,0.912340
10000,3,19,0.910617
10000,3,19,0.923523
10000,3,20,0.879241
10000,3,20,0.877802
10000,3,20,0.879420
10000,3,20,0.900492
10000,3,20,0.889867
10000,3,21,0.863930
10000,3,21,0.876152
10000,3,21,0.860030
10000,3,21,0.851967
10000,3,21,0.838941
10000,3,22,0.844764
10000,3,22,0.838644
10000,3,22,0.846669
10000,3,22,0.818847
10000,3,22,0.823936
10000,3,23,0.779249
10000,3,23,0.782341
10000,3,23,0.777391
10000,3,23,0.773768
10000,3,23,0.794830
10000,3,24,0.777558
10000,3,24,0.756562
10000,3,24,0.749731
10000,3,24,0.762693
10000,3,24,0.783430
10000,3,25,0.754997
10000,3,25,0.763073
10000,3,25,0.745692
10000,3,25,0.761315
10000,3,25,0.745328
10000,3,26,0.745264
10000,3,26,0.731424
10000,3,26,0.724835
10000,3,26,0.727515
10000,3,26,0.720953
10000,3,27,0.711859
10000,3,27,0.696217
10000,3,27,0.692277
10000,3,27,0.692279
10000,3,27,0.699750
10000,3,28,0.690087
10000,3,28,0.680431
10000,3,28,0.684360
10000,3,28,0.677439
10000,3,28,0.713454
10000,3,29,0.669836
10000,3,29,0.688834
10000,3,29,0.686240
10000,3,29,0.694941
10000,3,29,0.687361
10000,3,30,0.680663
10000,3,30,0.665874
10000,3,30,0.675524
10000,3,30,0.707836
10000,3,30,0.669459
10000,3,31,0.656148
10000,3,31,0.657612
10000,3,31,0.636424
10000,3,31,0.642419
10000,3,31,0.640639
10000,3,32,0.651406
10000,3,32,0.675245
10000,3,32,0.610362
10000,3,32,0.635740
10000,3,32,0.634871
10000,3,33,0.627050
10000,3,33,0.623274
10000,3,33,0.625566
10000,3,33,0.631410
10000,3,33,0.628783
10000,3,34,0.611131
10000,3,34,0.613416
10000,3,34,0.619102
10000,3,34,0.612901
10000,3,34,0.618709
10000,3,35,0.602236
10000,3,35,0.586283
10000,3,35,0.606015
10000,3,35,0.628082
10000,3,35,0.591615
10000,3,36,0.578105
10000,3,36,0.585080
10000,3,36,0.573928
10000,3,36,0.612150
10000,3,36,0.580270
10000,3,37,0.592069
10000,3,37,0.584334
10000,3,37,0.597487
10000,3,37,0.606520
10000,3,37,0.606067
10000,3,38,0.600468
10000,3,38,0.587426
10000,3,38,0.593947
10000,3,38,0.695047
10000,3,38,0.587347
10000,3,39,0.566208
10000,3,39,0.609190
10000,3,39,0.583093
