size,np,threads,time
10000,1,1,52.052515
10000,1,1,52.003948
10000,1,1,51.825462
10000,1,1,51.915506
10000,1,1,51.838279
10000,1,2,25.893429
10000,1,2,25.920647
10000,1,2,25.990518
10000,1,2,25.955431
10000,1,2,25.950541
10000,1,3,17.302344
10000,1,3,17.301361
10000,1,3,17.271234
10000,1,3,17.295368
10000,1,3,17.311310
10000,1,4,13.050691
10000,1,4,13.043392
10000,1,4,13.013493
10000,1,4,12.999613
10000,1,4,13.044198
10000,1,5,10.466770
10000,1,5,10.482630
10000,1,5,10.452536
10000,1,5,10.463869
10000,1,5,10.473185
10000,1,6,8.746377
10000,1,6,8.742398
10000,1,6,8.708080
10000,1,6,8.729683
10000,1,6,8.750435
10000,1,7,7.528957
10000,1,7,7.518358
10000,1,7,7.492539
10000,1,7,7.518272
10000,1,7,7.511340
10000,1,8,6.623407
10000,1,8,6.592909
10000,1,8,6.618843
10000,1,8,6.585262
10000,1,8,6.617373
10000,1,9,5.895391
10000,1,9,5.904593
10000,1,9,5.887504
10000,1,9,5.898396
10000,1,9,5.934006
10000,1,10,5.424516
10000,1,10,5.369521
10000,1,10,5.333902
10000,1,10,5.308538
10000,1,10,5.316895
10000,1,11,4.849520
10000,1,11,4.875044
10000,1,11,4.852550
10000,1,11,4.853840
10000,1,11,4.881047
10000,1,12,4.506383
10000,1,12,4.474206
10000,1,12,4.533715
10000,1,12,4.468315
10000,1,12,4.467953
