size,np,threads,time
10000,8,1,5.773239
10000,8,1,5.792103
10000,8,1,5.777485
10000,8,1,5.796919
10000,8,1,5.783430
10000,8,2,3.082622
10000,8,2,3.043738
10000,8,2,3.126640
10000,8,2,3.050758
10000,8,2,3.157775
10000,8,3,2.133973
10000,8,3,2.117294
10000,8,3,2.144215
10000,8,3,2.146549
10000,8,3,2.140911
10000,8,4,1.689098
10000,8,4,1.693680
10000,8,4,1.660480
10000,8,4,1.669477
10000,8,4,1.689068
10000,8,5,1.387621
10000,8,5,1.390762
10000,8,5,1.406048
10000,8,5,1.415257
10000,8,5,1.412823
10000,8,6,1.232156
10000,8,6,1.215948
10000,8,6,1.210418
10000,8,6,1.204988
10000,8,6,1.206515
10000,8,7,1.125817
10000,8,7,1.072754
10000,8,7,1.101878
10000,8,7,1.095000
10000,8,7,1.111220
10000,8,8,1.160467
10000,8,8,1.001409
10000,8,8,1.003388
10000,8,8,1.008042
10000,8,8,0.999256
10000,8,9,0.920372
10000,8,9,0.905638
10000,8,9,0.934084
10000,8,9,1.026879
10000,8,9,0.973695
10000,8,10,0.836726
10000,8,10,0.843511
10000,8,10,0.870291
10000,8,10,0.906286
10000,8,10,0.834013
10000,8,11,0.917661
10000,8,11,0.785506
10000,8,11,0.792822
10000,8,11,0.787552
10000,8,11,0.788931
10000,8,12,0.777286
10000,8,12,0.820878
10000,8,12,0.768143
10000,8,12,0.762820
10000,8,12,0.774782
