size,np,threads,time
10000,7,1,7.251969
10000,7,1,6.598156
10000,7,1,7.152242
10000,7,1,6.584984
10000,7,1,6.605193
10000,7,2,3.468014
10000,7,2,3.472996
10000,7,2,3.469303
10000,7,2,3.470029
10000,7,2,3.462862
10000,7,3,2.413886
10000,7,3,2.439443
10000,7,3,2.417189
10000,7,3,2.417311
10000,7,3,2.451343
10000,7,4,1.932393
10000,7,4,1.903244
10000,7,4,1.903599
10000,7,4,1.899835
10000,7,4,1.896917
10000,7,5,1.558339
10000,7,5,1.586434
10000,7,5,1.610561
10000,7,5,1.583194
10000,7,5,1.659343
10000,7,6,1.347409
10000,7,6,1.432816
10000,7,6,1.375049
10000,7,6,1.380731
10000,7,6,1.358062
10000,7,7,1.203057
10000,7,7,1.229900
10000,7,7,1.224492
10000,7,7,1.296033
10000,7,7,1.247872
10000,7,8,1.081949
10000,7,8,1.116062
10000,7,8,1.114615
10000,7,8,1.124111
10000,7,8,1.084423
10000,7,9,1.032115
10000,7,9,1.006701
10000,7,9,1.004804
10000,7,9,1.028665
10000,7,9,1.061273
10000,7,10,0.939417
10000,7,10,0.941611
10000,7,10,0.973249
10000,7,10,0.941969
10000,7,10,0.942796
10000,7,11,0.874742
10000,7,11,0.866379
10000,7,11,0.878962
10000,7,11,0.880497
10000,7,11,0.882950
10000,7,12,0.839784
10000,7,12,0.842488
10000,7,12,0.832871
10000,7,12,0.833727
10000,7,12,0.825455
