size,np,threads,time
10000,1,1,38.887643
10000,1,1,39.029345
10000,1,1,38.876429
10000,1,1,38.928471
10000,1,1,39.132321
10000,2,1,18.926907
10000,2,1,18.845566
10000,2,1,18.929924
10000,2,1,18.922783
10000,2,1,18.860242
10000,3,1,12.565805
10000,3,1,12.572479
10000,3,1,12.565556
10000,3,1,12.585688
10000,3,1,12.575759
10000,4,1,9.424049
10000,4,1,9.420847
10000,4,1,9.430971
10000,4,1,9.448742
10000,4,1,9.463222
10000,5,1,7.608455
10000,5,1,7.580375
10000,5,1,7.617321
10000,5,1,7.597102
10000,5,1,7.597583
10000,6,1,6.329514
10000,6,1,6.330513
10000,6,1,6.328472
10000,6,1,6.339902
10000,6,1,6.334955
10000,7,1,5.504995
10000,7,1,5.432637
10000,7,1,5.448362
10000,7,1,5.439835
10000,7,1,5.441587
10000,8,1,4.767728
10000,8,1,4.760691
10000,8,1,4.767202
10000,8,1,4.774530
10000,8,1,4.760590
